State,AccountLength,AreaCode,Phone,IntlPlan,VMailPlan,VMailMessage,DayMins,DayCalls,DayCharge,EveMins,EveCalls,EveCharge,NightMins,NightCalls,NightCharge,IntlMins,IntlCalls,IntlCharge,CustServCalls,Churn
AZ,104,408,360-8948,yes,no,0,238.3,104,40.51,209.9,82,17.84,222.5,100,10.01,9.3,3,2.51,2,True
CA,69,415,351-6436,no,no,0,135.0,88,22.95,217.9,95,18.52,151.0,115,6.79,7.2,6,1.94,3,False
TN,100,510,343-5463,no,no,0,243.1,95,41.33,157.1,112,13.35,239.2,88,10.76,10.8,2,2.92,1,True
VA,63,510,347-2476,no,no,0,157.9,107,26.84,215.1,77,18.28,179.1,115,8.06,8.4,6,2.27,2,False
NY,128,510,315-7850,yes,yes,40,176.0,81,29.92,190.9,114,16.23,215.2,104,9.68,10.6,5,2.86,3,True
PA,93,415,372-3187,yes,yes,24,131.3,107,22.32,227.6,98,19.35,150.6,100,6.78,13.3,3,3.59,5,True
AZ,106,408,314-8399,no,yes,19,203.7,94,34.63,196.0,94,16.66,228.4,105,10.28,12.1,6,3.27,1,False
LA,81,408,316-9979,yes,yes,16,240.1,112,40.82,199.6,75,16.97,223.2,94,10.04,7.5,2,2.03,2,True
TX,66,408,372-7485,yes,yes,18,232.7,124,39.56,157.0,96,13.35,228.6,104,10.29,7.7,4,2.08,0,True
WA,145,408,317-9885,no,yes,34,121.4,98,20.64,224.3,95,19.07,234.6,109,10.56,8.7,3,2.35,0,False
MO,59,510,322-4247,yes,no,0,217.8,87,37.03,235.2,104,19.99,191.0,107,8.59,11.9,3,3.21,1,True
AZ,57,415,366-3233,no,yes,23,251.5,111,42.76,170.4,113,14.48,224.4,99,10.1,10.2,2,2.75,2,False
VA,89,415,350-5464,no,no,0,189.2,122,32.16,208.0,85,17.68,162.6,108,7.32,7.2,2,1.94,1,False
GA,127,510,317-4068,no,yes,35,169.6,81,28.83,230.9,118,19.63,193.6,107,8.71,8.2,3,2.21,1,False
MO,102,415,364-5485,no,yes,24,241.8,85,41.11,180.6,78,15.35,155.0,108,6.97,9.5,4,2.57,4,True
IN,114,510,359-2652,yes,yes,21,194.5,94,33.07,150.4,80,12.78,223.4,94,10.05,7.8,5,2.11,1,True
TN,85,510,352-8018,yes,no,0,181.3,104,30.82,233.8,82,19.87,229.0,87,10.3,7.7,4,2.08,4,True
OH,131,408,306-6812,no,yes,35,242.1,104,41.16,233.8,116,19.87,212.4,91,9.56,11.6,2,3.13,4,True
MO,59,510,326-5424,no,no,0,178.4,117,30.33,208.0,93,17.68,152.5,107,6.86,9.5,3,2.57,0,False
GA,130,415,371-5519,no,no,0,189.8,94,32.27,151.1,105,12.84,197.8,120,8.9,9.1,4,2.46,3,False
MI,62,408,328-1076,yes,yes,23,220.8,103,37.54,146.1,117,12.42,176.6,89,7.95,13.3,4,3.59,4,False
NY,95,408,303-4023,yes,no,0,232.5,93,39.53,209.7,76,17.82,238.3,100,10.72,11.5,6,3.11,1,False
SC,79,408,375-3391,yes,no,0,210.9,86,35.85,240.3,107,20.43,163.0,86,7.33,7.6,2,2.05,4,False
MO,78,415,337-2311,yes,no,0,178.1,110,30.28,253.2,83,21.52,234.4,102,10.55,10.9,3,2.94,0,True
IL,69,510,393-2055,no,no,0,236.7,110,40.24,186.1,87,15.82,209.6,116,9.43,7.5,4,2.03,5,False
GA,76,510,311-6672,no,no,0,201.1,99,34.19,216.9,103,18.44,203.7,95,9.17,9.2,4,2.48,5,True
WI,108,408,329-3912,yes,yes,25,240.9,120,40.95,237.6,76,20.2,210.9,114,9.49,9.0,6,2.43,2,True
VA,116,510,347-4020,yes,yes,16,186.1,87,31.64,159.7,100,13.57,176.1,106,7.92,9.9,5,2.67,0,True
AZ,65,408,311-6398,no,yes,38,207.9,110,35.34,243.7,111,20.71,177.1,92,7.97,12.0,3,3.24,2,False
WA,142,510,384-3864,yes,yes,17,121.7,98,20.69,259.6,95,22.07,174.0,89,7.83,11.0,2,2.97,0,True
CA,126,510,300-7207,yes,no,0,187.3,93,31.84,247.0,115,21.0,248.2,85,11.17,8.8,7,2.38,2,True
IN,94,510,317-4298,yes,yes,36,166.0,117,28.22,236.8,119,20.13,188.8,101,8.5,8.9,7,2.4,2,False
VA,140,415,332-7414,no,no,0,154.8,115,26.32,189.8,88,16.13,244.5,93,11.0,12.7,2,3.43,4,False
TX,57,510,320-6644,no,yes,22,123.0,84,20.91,143.0,94,12.16,233.5,99,10.51,13.4,5,3.62,3,False
VA,72,408,337-9898,yes,no,0,208.7,85,35.48,200.7,88,17.06,233.6,91,10.51,13.8,6,3.73,4,False
OH,121,415,395-3420,no,no,0,259.9,98,44.18,222.8,93,18.94,169.8,108,7.64,11.9,2,3.21,5,True
MI,115,415,308-4892,no,yes,24,202.6,98,34.44,257.1,112,21.85,222.4,90,10.01,13.3,6,3.59,1,False
IL,109,408,307-7746,no,yes,23,239.7,86,40.75,190.8,111,16.22,202.5,94,9.11,10.8,5,2.92,1,True
TN,56,510,387-8168,yes,no,0,142.1,119,24.16,162.6,95,13.82,190.7,100,8.58,9.7,4,2.62,0,False
CA,150,415,367-6894,yes,no,0,151.2,111,25.7,167.4,101,14.23,215.2,115,9.68,8.9,4,2.4,0,False
LA,60,415,359-9685,yes,no,0,226.9,80,38.57,251.1,106,21.34,199.6,90,8.98,8.8,3,2.38,1,False
TX,93,408,338-5227,no,yes,20,214.0,117,36.38,221.8,104,18.85,181.8,119,8.18,13.7,4,3.7,4,True
NY,64,408,378-1756,yes,no,0,145.2,83,24.68,223.7,87,19.01,175.5,102,7.9,7.7,4,2.08,5,False
GA,98,415,356-4953,no,no,0,143.8,106,24.45,243.8,110,20.72,235.6,103,10.6,9.4,7,2.54,3,False
MI,76,510,345-2384,no,yes,31,141.0,106,23.97,177.3,86,15.07,158.3,118,7.12,12.8,7,3.46,3,False
GA,123,510,357-1990,yes,no,0,148.3,94,25.21,234.3,112,19.92,153.9,106,6.93,10.4,2,2.81,4,True
MI,146,408,345-1775,no,no,0,212.1,109,36.06,221.0,95,18.79,237.8,115,10.7,8.1,6,2.19,3,False
PA,66,408,390-9415,yes,no,0,181.0,92,30.77,247.5,86,21.04,152.2,110,6.85,13.3,4,3.59,3,True
VA,106,415,367-5336,no,yes,30,186.2,92,31.65,141.5,95,12.03,212.4,104,9.56,12.6,3,3.4,4,True
MO,94,408,396-6759,no,yes,21,200.3,82,34.05,228.8,93,19.45,190.2,102,8.56,8.1,7,2.19,1,False
NY,115,408,300-9002,yes,yes,31,189.9,124,32.28,229.4,118,19.5,172.7,108,7.77,11.7,5,3.16,3,True
NY,78,510,383-9335,no,no,0,217.1,94,36.91,149.1,97,12.67,160.0,109,7.2,10.0,7,2.7,1,False
SC,101,415,385-6276,no,yes,25,171.9,95,29.22,143.0,114,12.16,181.8,105,8.18,11.0,2,2.97,0,False
OH,106,510,384-8008,no,yes,38,233.8,118,39.75,201.7,108,17.14,219.1,119,9.86,9.8,5,2.65,3,True
SC,83,408,366-5563,yes,yes,38,212.4,122,36.11,145.3,83,12.35,174.4,91,7.85,11.9,3,3.21,0,True
SC,124,510,315-7409,no,yes,26,169.7,86,28.85,145.2,114,12.34,156.1,89,7.02,9.4,7,2.54,5,True
SC,63,415,314-2270,yes,no,0,179.7,124,30.55,195.6,119,16.63,210.7,86,9.48,7.8,6,2.11,2,True
IL,57,408,382-2096,no,no,0,255.3,96,43.4,187.1,117,15.9,172.6,86,7.77,9.9,2,2.67,2,False
CO,71,510,312-4114,yes,no,0,225.0,112,38.25,245.8,106,20.89,209.0,85,9.4,11.3,7,3.05,4,True
WA,118,510,362-4717,no,no,0,204.1,111,34.7,150.9,88,12.83,158.0,86,7.11,10.1,4,2.73,3,False
GA,65,408,380-4515,yes,no,0,241.8,80,41.11,201.7,98,17.14,236.2,87,10.63,9.8,7,2.65,5,True
WA,141,408,398-9949,yes,yes,19,143.2,123,24.34,203.0,111,17.26,207.0,89,9.31,7.2,6,1.94,2,False
TN,144,510,374-6764,no,yes,27,253.5,120,43.1,156.1,76,13.27,192.1,100,8.64,13.3,5,3.59,3,True
OH,101,415,348-1346,no,no,0,205.2,120,34.88,232.3,95,19.75,172.6,96,7.77,8.2,3,2.21,5,False
FL,134,510,342-3718,yes,yes,29,219.4,81,37.3,257.1,85,21.85,233.8,93,10.52,13.1,7,3.54,1,True
TX,90,415,384-7836,yes,yes,33,185.4,95,31.52,190.8,85,16.22,233.4,92,10.5,11.2,3,3.02,2,True
LA,105,408,314-2394,no,no,0,132.1,83,22.46,248.2,77,21.1,240.8,118,10.84,14.0,4,3.78,0,False
NC,57,408,357-8974,no,yes,28,172.8,94,29.38,189.6,105,16.12,201.7,116,9.08,13.3,2,3.59,5,True
IN,131,510,372-5008,yes,no,0,142.2,110,24.17,233.1,81,19.81,167.6,90,7.54,12.6,5,3.4,0,True
PA,53,415,370-5723,yes,no,0,181.2,83,30.8,220.5,116,18.74,230.0,85,10.35,13.2,7,3.56,0,True
IN,97,415,386-9425,yes,no,0,230.6,124,39.2,179.0,76,15.22,216.0,92,9.72,7.5,3,2.03,4,True
IL,107,415,320-6556,yes,yes,16,129.0,84,21.93,208.5,80,17.72,248.3,113,11.17,9.7,6,2.62,5,False
WI,145,415,350-2070,yes,no,0,235.8,125,40.09,228.9,87,19.46,235.8,103,10.61,12.3,5,3.32,1,True
OH,66,415,372-6384,no,yes,16,253.9,106,43.16,218.9,85,18.61,194.1,120,8.73,10.6,2,2.86,5,False
GA,121,415,398-2829,no,yes,21,174.5,92,29.67,227.1,85,19.3,226.7,113,10.2,9.3,5,2.51,3,False
MO,102,510,353-2216,no,yes,37,205.7,96,34.97,156.6,75,13.31,239.1,89,10.76,9.8,3,2.65,0,False
WA,132,408,343-6097,yes,yes,25,170.3,114,28.95,170.2,107,14.47,245.7,116,11.06,11.7,7,3.16,3,False
TX,116,415,337-4835,yes,yes,20,257.5,114,43.78,190.9,77,16.23,220.3,108,9.91,12.7,5,3.43,4,False
CA,87,408,394-7026,yes,yes,20,145.6,111,24.75,151.9,110,12.91,187.5,101,8.44,9.7,7,2.62,5,True
WI,143,415,349-4535,yes,yes,16,167.5,102,28.48,234.3,109,19.92,157.9,85,7.11,10.3,6,2.78,4,False
IN,128,510,396-6502,no,no,0,225.2,88,38.28,231.0,118,19.64,152.6,103,6.87,13.7,7,3.7,4,True
GA,141,510,330-5888,yes,yes,35,198.3,91,33.71,239.1,109,20.32,240.7,106,10.83,11.6,5,3.13,4,True
VA,102,408,309-1295,yes,yes,25,251.3,100,42.72,193.2,90,16.42,166.0,111,7.47,10.4,6,2.81,4,False
TN,108,408,395-3955,no,no,0,252.0,104,42.84,208.2,100,17.7,231.9,116,10.44,11.7,6,3.16,5,True
TN,126,408,341-7765,yes,no,0,214.7,84,36.5,212.9,103,18.1,248.7,109,11.19,10.9,4,2.94,3,True
NY,76,408,341-6997,no,yes,40,168.2,121,28.59,171.5,103,14.58,219.7,107,9.89,11.7,6,3.16,1,False
MO,101,415,390-1815,no,yes,34,240.9,109,40.95,185.7,99,15.78,211.9,88,9.54,13.3,5,3.59,5,False
VA,150,510,334-7286,no,no,0,124.5,88,21.17,183.6,92,15.61,209.3,107,9.42,12.1,3,3.27,4,True
VA,118,408,366-2996,no,yes,33,181.2,98,30.8,159.6,117,13.57,190.9,92,8.59,8.9,7,2.4,5,True
IN,114,415,353-3544,yes,yes,32,227.2,97,38.62,169.0,113,14.37,152.6,98,6.87,12.9,7,3.48,3,True
PA,109,408,341-4799,yes,no,0,226.0,94,38.42,260.0,108,22.1,207.6,91,9.34,7.7,3,2.08,1,False
IN,59,510,397-5932,no,no,0,156.3,92,26.57,198.3,82,16.86,227.9,99,10.26,12.8,4,3.46,0,False
OH,141,510,376-6285,no,no,0,201.4,87,34.24,216.1,88,18.37,193.2,92,8.69,11.1,3,3.0,0,False
MO,150,510,355-7842,yes,yes,31,203.7,117,34.63,145.4,103,12.36,187.1,105,8.42,7.5,5,2.03,4,True
IN,143,415,341-5052,no,yes,30,201.8,84,34.31,200.7,82,17.06,183.2,103,8.24,7.4,5,2.0,5,True
AZ,65,510,397-9749,no,yes,29,142.1,99,24.16,229.1,104,19.47,229.0,91,10.3,10.8,3,2.92,5,False
IL,121,510,395-5992,yes,yes,31,192.1,120,32.66,165.6,118,14.08,177.2,94,7.97,11.0,2,2.97,1,False
LA,96,408,338-2353,yes,yes,31,215.0,84,36.55,226.8,117,19.28,233.3,104,10.5,10.0,2,2.7,3,True
NY,59,408,340-3452,no,no,0,172.8,108,29.38,196.6,112,16.71,183.1,116,8.24,11.0,7,2.97,1,False
AZ,52,408,350-6327,yes,yes,38,212.3,96,36.09,235.2,110,19.99,175.6,118,7.9,10.7,2,2.89,2,True
IL,79,510,339-9564,yes,yes,35,235.9,94,40.1,161.6,94,13.74,214.5,104,9.65,11.3,5,3.05,3,True
WA,88,510,325-3592,no,yes,30,204.4,102,34.75,223.1,96,18.96,174.4,100,7.85,10.9,7,2.94,1,False
WA,110,415,357-4302,yes,no,0,148.9,119,25.31,244.3,118,20.77,245.6,87,11.05,7.6,4,2.05,2,True
FL,104,408,332-9506,yes,no,0,133.1,93,22.63,145.5,104,12.37,214.8,108,9.67,8.2,2,2.21,4,True
MO,103,408,301-8890,no,yes,19,182.3,80,30.99,237.5,114,20.19,194.0,110,8.73,13.3,5,3.59,3,False
IN,71,510,370-3701,no,yes,22,190.6,118,32.4,252.3,91,21.45,229.0,116,10.3,11.7,6,3.16,2,False
FL,126,408,374-8288,no,no,0,133.0,92,22.61,204.9,79,17.42,224.6,110,10.11,7.9,7,2.13,4,False
